id,value
7.spot,7228.915662650603
7.canzone,4819.2771084337355
7.manca,2409.6385542168678
7.cala,2409.6385542168678
23.assicurazioni,2409.6385542168678
7.ricordi,74698.7951807229
7.devono,2409.6385542168678
7.partner,2409.6385542168678
-7.mausoleoaugusto,2409.6385542168678
-7.ufficiale,2409.6385542168678
7.smartphone,2409.6385542168678
7.cellulare,4819.2771084337355
-7.toglie,48192.77108433735
7.sciolta,2409.6385542168678
7.disservizi,2409.6385542168678
7.contattarvi,2409.6385542168678
7.riesco,2409.6385542168678
-7.notifica,2409.6385542168678
7.accordo,7228.915662650603
7.dichiarazione,4819.2771084337355
7.addebito,50602.40963855422
7.fattura,2409.6385542168678
7.capirci,2409.6385542168678
-15.servi,7228.915662650603
7.truffa,12048.192771084337
23.errore,4819.2771084337355
7.attivarlo,2409.6385542168678
7.ultra,2409.6385542168678
7.potrai,9638.554216867471
7.preavviso,12048.192771084337
7.ricarica,9638.554216867471
7.attivata,113253.01204819277
10.sendo,4819.2771084337355
23.conciliazione,2409.6385542168678
7.attivare,2409.6385542168678
7.gratuito,4819.2771084337355
7.rimodulazione,26506.024096385543
7.pagherei,7228.915662650603
-7.verrebbe,7228.915662650603
-15.acontecendo,4819.2771084337355
15.tive,2409.6385542168678
-15.mandar,9638.554216867471
23.mail,9638.554216867471
-7.nminuti,2409.6385542168678
7.linee,4819.2771084337355
7.ultime,2409.6385542168678
7.segnalare,19277.108433734942
7.velocità,7228.915662650603
-15.explica,2409.6385542168678
7.tempistiche,7228.915662650603
-19.wait,4819.2771084337355
19.from,2409.6385542168678
7.rete,4819.2771084337355
-19.thanks,4819.2771084337355
22.prov,2409.6385542168678
7.zona,16867.469879518074
7.porcodio,12048.192771084337
7.potremmo,2409.6385542168678
-7.customercare,4819.2771084337355
-24.luck,14457.831325301206
-24.months,7228.915662650603
7.punti,2409.6385542168678
7.strepitose,2409.6385542168678
7.rispondono,26506.024096385543
-7.vuole,2409.6385542168678
-19.insoddisfazione,2409.6385542168678
-7.happy,2409.6385542168678
-7.repubblica,2409.6385542168678
22.fibra,2409.6385542168678
7.operatori,2409.6385542168678
7.pessimo,7228.915662650603
7.offerte,2409.6385542168678
7.rimborsano,2409.6385542168678
-7.bocca,2409.6385542168678
-7.cacare,19277.108433734942
7.tecnico,31325.30120481928
23.breve,2409.6385542168678
7.scusatemi,2409.6385542168678
7.corretto,7228.915662650603
7.aumentare,31325.30120481928
7.sottolineare,36144.57831325301
7.associati,2409.6385542168678
7.sollecitiamo,2409.6385542168678
23.modem,12048.192771084337
23.potete,9638.554216867471
23.info,2409.6385542168678
7.senso,2409.6385542168678
7.ridicoli,2409.6385542168678
-7.risolvano,16867.469879518074
7.devi,21686.746987951807
7.passare,4819.2771084337355
23.confermo,2409.6385542168678
23.privato,2409.6385542168678
-23.comunicarvi,7228.915662650603
7.rubato,4819.2771084337355
7.giga,2409.6385542168678
-8.five,2409.6385542168678
7.vorrei,2409.6385542168678
7.marito,7228.915662650603
7.codici,4819.2771084337355
7.cercato,4819.2771084337355
23.verifichiamo,2409.6385542168678
7.richiesta,12048.192771084337
7.chiamato,4819.2771084337355
7.credito,14457.831325301206
7.traffico,4819.2771084337355
8.opzione,9638.554216867471
8.roaming,14457.831325301206
-7.servizi,4819.2771084337355
7.abbonamento,7228.915662650603
