id,value
13.bolletta,16571.064372211596
13.ricevere,2230.720203951562
13.successive,2868.068833652008
25.gent,3824.091778202677
25.venditori,5417.463352453792
17.documentazione,2230.720203951562
17.intestato,4142.766093052899
2.pratico,4461.440407903124
2.ricontatto,1912.0458891013384
24.sveglia,4461.440407903124
27.aggiornare,637.3486297004462
11.mica,956.0229445506692
11.conferma,2230.720203951562
2.partenza,1274.6972594008923
17.nciao,3505.4174633524535
29.impiegato,74251.11536010198
29.inviatomi,2868.068833652008
25.verifiche,2230.720203951562
17.chattare,2230.720203951562
-10.privatamente,4780.1147227533465
-17.privato,4461.440407903124
-17.indipendentemente,18164.435946462716
2.telefonico,3186.7431485022303
-2.codice,2868.068833652008
2.negozio,1274.6972594008923
27.aggiornamento,318.6743148502231
-21.chiavetta,2230.720203951562
-24.caduta,2230.720203951562
24.tenuto,1912.0458891013384
2.buongiorno,3505.4174633524535
10.chiuso,5098.789037603569
10.educazione,4461.440407903124
10.chiarezza,2549.3945188017847
24.specie,1274.6972594008923
24.domanda,4780.1147227533465
-17.perdurare,4142.766093052899
-17.necessariamente,2549.3945188017847
24.contattare,3505.4174633524535
-24.spedizione,2868.068833652008
-24.ritiro,4142.766093052899
27.venduto,3505.4174633524535
21.wifi,956.0229445506692
21.agganciare,1912.0458891013384
-2.vacanza,5098.789037603569
13.master,3186.7431485022303
10.invitato,2549.3945188017847
10.maleducato,2549.3945188017847
-10.cretino,4142.766093052899
-24.stressanti,1593.3715742511151
-24.sperare,2230.720203951562
24.mezz,4142.766093052899
-24.interlocutore,4780.1147227533465
24.lunedì,8285.532186105798
-24.segreto,3186.7431485022303
-24.insistenza,2868.068833652008
-11.magia,2549.3945188017847
-24.normalità,3186.7431485022303
-25.anticipatamente,7648.183556405354
21.roaming,24537.92224346718
13.offrire,3505.4174633524535
10.trovavo,1912.0458891013384
-10.efficiente,2868.068833652008
24.deluso,3505.4174633524535
-11.incubo,2230.720203951562
-11.attaccato,3505.4174633524535
-24.vedrai,2868.068833652008
24.fretta,2230.720203951562
-24.troviamo,1274.6972594008923
-24.temporaneamente,3505.4174633524535
24.occupato,1593.3715742511151
-11.ciliegina,1274.6972594008923
-26.stranamente,5098.789037603569
-25.teoria,1912.0458891013384
-25.conteggio,3186.7431485022303
13.modificare,3505.4174633524535
10.trovata,3505.4174633524535
2.sottoscrivere,3505.4174633524535
10.scappare,2230.720203951562
-11.veloce,2868.068833652008
11.rescissione,1912.0458891013384
-25.sistemato,2868.068833652008
-13.motivo,956.0229445506692
-20.combo,318.6743148502231
-24.sollecitare,1274.6972594008923
24.tante,4461.440407903124
-24.orario,1593.3715742511151
25.inaccettabile,3186.7431485022303
-25.rivedere,5098.789037603569
25.tantissimi,4142.766093052899
13.cliente,3186.7431485022303
9.razza,1274.6972594008923
10.pessimo,2868.068833652008
-11.brutto,1593.3715742511151
11.contento,3186.7431485022303
-11.finchè,13065.646908859146
-24.documentato,318.6743148502231
-20.orribile,5098.789037603569
-26.negativo,2549.3945188017847
-26.volo,3824.091778202677
-26.rispettato,8604.206500956023
-26.valutare,28680.688336520074
-26.strumento,28680.688336520074
1.maximo,4461.440407903124
-10.vergognatevi,9241.555130656468
-11.abbandonare,4142.766093052899
13.tanti,2230.720203951562
-11.addebitarmi,318.6743148502231
-26.spiegando,3505.4174633524535
26.nettamente,2549.3945188017847
26.trascorso,2230.720203951562
13.stipula,5736.137667304016
26.troppe,7966.857871255577
-1.canzone,6054.811982154239
-11.rompere,3824.091778202677
-1.utili,2868.068833652008
-25.stipendio,2230.720203951562
-13.resto,1912.0458891013384
-3.comercial,1593.3715742511151
-24.commercial,1274.6972594008923
29.proposito,637.3486297004462
13.stipulato,3186.7431485022303
26.auto,5736.137667304016
13.voler,12428.2982791587
-17.tolta,3186.7431485022303
1.stasera,9560.229445506693
-1.preferito,1274.6972594008923
-11.vuoi,1912.0458891013384
-11.miracolo,4461.440407903124
-11.festa,5098.789037603569
-24.vincolato,637.3486297004462
-3.dado,318.6743148502231
-24.accidentale,1274.6972594008923
21.soglia,1912.0458891013384
-26.autonomia,2868.068833652008
13.disguido,7648.183556405354
-26.quotidianamente,4142.766093052899
-1.thanks,4780.1147227533465
-1.campione,5736.137667304016
-1.sanremo,8285.532186105798
-25.mare,3824.091778202677
-25.velocemente,2549.3945188017847
-25.tartassato,1912.0458891013384
-10.professionalità,2549.3945188017847
-13.pensare,2230.720203951562
-10.complicato,3186.7431485022303
-29.sospendere,4142.766093052899
-24.perfavore,8285.532186105798
21.scaricare,5736.137667304016
4.accedere,9878.903760356916
-4.phone,3824.091778202677
-14.support,1593.3715742511151
-14.offers,3186.7431485022303
-1.vincitori,3824.091778202677
-1.sviluppo,3824.091778202677
-25.dimenticatoio,11790.949649458254
25.economico,1593.3715742511151
13.tornato,2868.068833652008
-25.letteralmente,3824.091778202677
24.insistere,2230.720203951562
-26.truffato,3505.4174633524535
-24.simili,4461.440407903124
13.presente,1593.3715742511151
21.applicazione,14340.344168260037
-29.visualizzare,1593.3715742511151
-14.back,1912.0458891013384
-14.address,1912.0458891013384
-12.able,4780.1147227533465
1.accessibile,2230.720203951562
-1.cuore,3505.4174633524535
-18.tratti,5417.463352453792
18.velocità,3824.091778202677
29.mbit,3824.091778202677
29.rescindere,1274.6972594008923
13.verità,1912.0458891013384
-5.verranno,2230.720203951562
-26.facilmente,2868.068833652008
24.quell,3186.7431485022303
29.screen,4461.440407903124
-29.multiplo,1912.0458891013384
-12.right,1912.0458891013384
-12.maybe,1912.0458891013384
-12.active,1593.3715742511151
-1.save,4142.766093052899
-18.ditta,3824.091778202677
18.fibra,4142.766093052899
18.zona,8604.206500956023
-18.malfunzionamento,3186.7431485022303
-10.disturbare,4461.440407903124
13.rivolgere,2868.068833652008
13.pretendere,5098.789037603569
2.consenso,3186.7431485022303
13.escludere,3505.4174633524535
-26.time,318.6743148502231
-12.look,1912.0458891013384
-12.bills,2230.720203951562
-12.because,1593.3715742511151
12.plan,3824.091778202677
-1.technology,3186.7431485022303
-1.logo,7010.834926704907
-2.fermare,7010.834926704907
-18.abito,68514.97769279795
24.smettere,9878.903760356916
10.fornitore,14021.669853409814
13.denunciare,2868.068833652008
13.prelevare,3505.4174633524535
13.abbonamento,4142.766093052899
26.game,2868.068833652008
-26.service,1593.3715742511151
-12.could,2868.068833652008
12.charges,1274.6972594008923
-12.nothing,2868.068833652008
14.have,16889.73868706182
